Fecha,Responsable,Empresa / Equipo,No. Cédula,Tipo de beneficiario,Grupo Poblacional,Nombre del beneficiado,Cédula,Teléfono (wsp),Departamento,Municipio,Vereda / Corregimiento,Dirección,Menor de 5 años,Entre 6 y 17 años,Entre 18 y 64 años,Mayor de 65 años,Tiene agua disponible para sus actividades diarias.,¿De dónde toma el agua?,¿Utiliza otra fuente de agua?,¿Quién administra el servicio?,¿Cuántas horas al día cuenta con agua?,¿Tiene que desplazarse para acceder al agua?,¿Qué medio utiliza?,¿Cuánto tiempo se demora? (min),Percepción del agua,¿Qué opina del sabor del agua?,"¿El agua es clara, oscura o por temporada?",¿Presenta olores?,¿Almacena agua en tanque?,¿Realiza tratamientos al agua? (Opción múltiple),"En caso de hervir el agua, ¿cómo lo hace?",¿Quién realiza estas labores?,¿Cuánto dinero invierte al mes?,¿El agua tiene contacto con fuentes de contaminación? (Opción múltiple),¿La fuente está protegida?,¿Es importante consumir agua de calidad?,Beneficios de consumir agua potable (Opción múltiple),¿Cuenta con sanitario (taza)?,¿Tiene fosa séptica/pozo séptico/alcantarillado?,¿Ha recibido capacitación en higiene?,Prácticas: Lavado de manos,Prácticas: Limpieza del hogar,Prácticas: Cepillado dental,Prácticas: Otras,Prácticas: Baño diario,¿Presentan dolores de estómago?,¿Se han presentado enfermedades hídricas? (Opción múltiple),Observaciones,Timestamp (ms),Latitud,Altitud,Codigo(No Modificar),Aprobado,Creado En,GPS
0000-00-00,Juan Esteban,UESVALLE,1110000066,Vivienda,NA,Ana María,8815113,3129950040,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Call,0,5,4,4,1,SI,Grifo,SI,0,14,SI,0,18,Mala,Regular,Clara,NO,NO,"Hervir,Filtrar",Tanque,0,85000,Aguas Residuales,NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,NO,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis",,,,,1.762E+12,37.4219983,5,6jrl+GO,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
09/05/2025,Carlos Pérez,Uesvalle,1110000069,Vivienda,NA,Laura Gómez,8067371,3606702800,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Call,0,6,3,4,0,SI,Pozo,NO,0,14,NO,0,27,Regular,Mala,Turbia,NO,SI,Filtrar,Olla,0,45000,"Animales,Aguas Residuales,Químicos",NO,NO,Mejor Salud,SI,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis",Visita al lugar presentaba fallas,,,,1.762E+12,37.4219983,5,6jrl+GR,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
01/10/2025,Ana María,UESVALLE,1110000072,Comercio,NA,Christian Frank,3987513,3483514895,Valle del Cauca,Bolívar,CoV-LA PLAYA,Cra,0,7,0,3,0,SI,Pozo,SI,0,23,SI,0,66,Buena,Buena,Clara,NO,NO,Filtrar,Tanque,0,15000,"Basuras,Animales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,NO,"Lavado de manos,Cepillado de dientes",NO,Hepatitis,Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+GU,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,UESVALLE,1110000073,Finca,NA,María Fernanda,5737189,3288695340,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera,0,3,1,2,0,NO,Naciente,NO,0,19,SI,0,53,Mala,Buena,Turbia,SI,SI,Filtrar,Tanque,0,10000,Aguas Residuales,NO,NO,"Ahorro Económico,Mejor Sabor",NO,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Vómito,Cólera,Hepatitis",Visita al lugar sin novedad,,,,1.762E+12,37.4219983,5,6jrl+GV,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Uesvalle,1110000074,Finca,NA,Carlos Pérez,8744892,3722210605,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle,0,5,1,1,0,NO,Grifo,NO,0,15,SI,0,108,Mala,Regular,Clara,NO,SI,"Hervir,Filtrar",Olla,0,85000,"Basuras,Animales",NO,SI,Mejor Salud,SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis",,,,,1.762E+12,37.4219983,5,6jrl+GW,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Uesvalle,1110000083,Vivienda,NA,Carlos Pérez,7071842,3507823167,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Mz,0,2,3,3,1,NO,Grifo,SI,0,24,NO,0,14,Buena,Mala,Clara,NO,NO,"Hervir,Filtrar",Botellón,0,10000,Aguas Residuales,NO,SI,Mejor Salud,SI,NO,SI,Solo consumo humano,SI,"Vómito,Cólera,Hepatitis",Sin observaciones,,,,1.762E+12,37.4219983,5,6jrl+G%,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Uesvalle,1110000096,Comercio,NA,Juan Esteban,7418671,3384444299,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera,0,2,4,1,1,SI,Grifo,NO,0,24,NO,0,98,Buena,Buena,Clara,SI,NO,Hervir,Tanque,0,20000,"Químicos,Metales Pesados",SI,NO,Mejor Salud,SI,NO,NO,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis",Visita al lugar presentaba fallas,,,,1.762E+12,37.4219983,5,6jrl+G],0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,UESVALLE,1110000104,Finca,NA,Christian Frank,7881659,3120758740,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera,0,4,2,2,1,SI,Pozo,NO,0,21,SI,0,50,Buena,Mala,Clara,NO,NO,Hervir,Olla,0,20000,"Basuras,Animales",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+H3,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Uesvalle,1110000110,Comercio,NA,María Fernanda,8437745,3550280057,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera,0,6,4,4,2,SI,Grifo,NO,0,5,NO,0,116,Regular,Mala,Turbia,SI,SI,Hervir,Olla,0,80000,"Químicos,Metales Pesados",NO,NO,"Ahorro Económico,Mejor Sabor",NO,SI,SI,Solo consumo humano,NO,Hepatitis,Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+H9,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
09/10/2025,Carlos Pérez,UESVALLE,1110000111,Comercio,NA,Juan Esteban,7349006,3792025250,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle,0,7,3,1,1,NO,Grifo,NO,0,3,NO,0,97,Mala,Mala,Clara,NO,NO,Filtrar,Tanque,0,35000,"Basuras,Animales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,SI,Solo consumo humano,SI,Hepatitis,Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+Ha,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
01/04/2025,Laura Gómez,Uesvalle,1110000114,Finca,NA,María Fernanda,2744672,3470859878,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Cra,0,3,1,4,2,NO,Naciente,SI,0,5,NO,0,79,Regular,Buena,Clara,SI,NO,Hervir,Tanque,0,20000,"Químicos,Metales Pesados",SI,NO,"Ahorro Económico,Mejor Sabor",NO,NO,SI,Solo consumo humano,SI,"Diarrea,Vómito",Visita al lugar sin novedad,,,,1.762E+12,37.4219983,5,6jrl+Hd,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,UESVALLE,1110000118,Comercio,NA,Christian Frank,2109838,3630722732,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera,0,7,3,4,0,NO,Naciente,SI,0,15,SI,0,69,Buena,Regular,Turbia,NO,SI,Filtrar,Botellón,0,70000,"Químicos,Metales Pesados",NO,SI,Mejor Salud,NO,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis",,,,,1.762E+12,37.4219983,5,6jrl+Hh,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,UESVALLE,1110000121,Comercio,NA,Christian Frank,2434970,3688511370,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Carrera,0,3,3,1,0,SI,Pozo,NO,0,14,NO,0,18,Buena,Regular,Turbia,SI,SI,Hervir,Olla,0,85000,"Animales,Aguas Residuales,Químicos",SI,NO,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Cepillado de dientes",NO,Hepatitis,,,,,1.762E+12,37.4219983,5,6jrl+Hk,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,UESVALLE,1110000128,Finca,NA,Ana María,5944480,3253732090,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Mz,0,5,1,1,1,SI,Grifo,SI,0,6,NO,0,2,Regular,Mala,Turbia,NO,SI,Filtrar,Tanque,0,15000,"Químicos,Metales Pesados",NO,SI,Mejor Salud,NO,SI,SI,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+Hr,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,UESVALLE,1110000132,Vivienda,NA,Laura Gómez,3805592,3783961871,Valle del Cauca,Bolívar,CoV-LA PLAYA,Call,0,7,4,2,2,SI,Naciente,SI,0,11,NO,0,75,Mala,Regular,Clara,NO,SI,Filtrar,Tanque,0,65000,"Basuras,Animales",NO,SI,Mejor Salud,SI,SI,NO,Solo consumo humano,NO,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+Hv,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
09/09/2025,Laura Gómez,Uesvalle,1110000135,Finca,NA,Laura Gómez,6821950,3548538335,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera,0,3,0,3,1,NO,Grifo,SI,0,17,NO,0,73,Mala,Mala,Turbia,NO,NO,"Hervir,Filtrar",Tanque,0,30000,"Basuras,Animales",SI,NO,"Ahorro Económico,Mejor Sabor",SI,NO,SI,Solo consumo humano,NO,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+HC,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/05/2025,Laura Gómez,UESVALLE,1110000139,Vivienda,NA,Juan Esteban,4468102,3616325462,Valle del Cauca,Bolívar,CoV-LA PLAYA,Cra,0,4,2,2,1,SI,Pozo,SI,0,18,NO,0,54,Buena,Buena,Clara,NO,SI,Hervir,Olla,0,10000,"Químicos,Metales Pesados",NO,SI,Mejor Salud,NO,NO,SI,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+HG,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
02/09/2025,Juan Esteban,UESVALLE,1110000141,Vivienda,NA,Christian Frank,4049631,3775538107,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Mz,0,6,4,5,1,SI,Pozo,NO,0,17,SI,0,14,Buena,Mala,Turbia,NO,SI,Filtrar,Botellón,0,45000,"Animales,Aguas Residuales,Químicos",SI,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,NO,"Lavado de manos,Cepillado de dientes",NO,Hepatitis,Visita al lugar sin novedad,,,,1.762E+12,37.4219983,5,6jrl+HI,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,UESVALLE,1110000145,Vivienda,NA,Carlos Pérez,6506522,3143250295,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle,0,5,3,1,1,SI,Pozo,NO,0,19,NO,0,109,Regular,Regular,Turbia,SI,NO,"Hervir,Filtrar",Tanque,0,45000,"Basuras,Animales",NO,NO,"Ahorro Económico,Mejor Sabor",SI,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Diarrea,Vómito",Sin observaciones,,,,1.762E+12,37.4219983,5,6jrl+HM,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,UESVALLE,1110000148,Finca,NA,Juan Esteban,7311769,3348147706,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Cra,0,2,2,3,1,SI,Naciente,NO,0,7,NO,0,15,Buena,Regular,Turbia,NO,SI,Filtrar,Tanque,0,90000,"Basuras,Animales",SI,SI,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Cepillado de dientes",NO,"Diarrea,Vómito",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+HP,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
06/04/2025,Christian Frank,Uesvalle,1110000154,Finca,NA,Laura Gómez,8463287,3646094759,Valle del Cauca,Bolívar,CoV-LA PLAYA,Call,0,3,2,3,2,NO,Naciente,SI,0,7,SI,0,3,Buena,Buena,Clara,NO,NO,Hervir,Botellón,0,45000,"Basuras,Animales",SI,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,SI,Solo consumo humano,NO,Hepatitis,Visita al lugar sin novedad,,,,1.762E+12,37.4219983,5,6jrl+HV,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
10/02/2025,Christian Frank,Uesvalle,1110000160,Finca,NA,Laura Gómez,9346719,3963781789,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle,0,7,1,5,1,SI,Naciente,NO,0,7,NO,0,2,Buena,Mala,Turbia,SI,SI,"Hervir,Filtrar",Tanque,0,25000,Aguas Residuales,SI,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Lavado de manos,Cepillado de dientes",SI,Hepatitis,,,,,1.762E+12,37.4219983,5,6jrl+H!,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Uesvalle,1110000162,Finca,NA,Juan Esteban,8972639,3822133009,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera,0,3,2,3,0,SI,Grifo,NO,0,4,SI,0,45,Regular,Buena,Turbia,NO,NO,Hervir,Olla,0,10000,"Animales,Aguas Residuales,Químicos",NO,NO,"Ahorro Económico,Mejor Sabor",NO,SI,SI,"Lavado de manos,Cepillado de dientes",NO,Hepatitis,Sin observaciones,,,,1.762E+12,37.4219983,5,6jrl+H#,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Uesvalle,1110000170,Comercio,NA,Laura Gómez,6447210,3740336554,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Mz,0,3,4,3,2,SI,Grifo,NO,0,16,SI,0,114,Mala,Regular,Clara,NO,NO,Hervir,Botellón,0,30000,"Químicos,Metales Pesados",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Vómito,Cólera,Hepatitis",Se observan mejoras,,,,1.762E+12,37.4219983,5,6jrl+H+,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
