Fecha,Encuestador,Departamento,Municipio,Vereda o Corregimiento,Dirección,Documento,Teléfono,Fecha en que obtuvo el filtro,Fuente donde toma el agua,¿Por qué usas el filtro de arcilla?,¿Cuánto tiempo dura el agua almacenada? (días),¿Cuántas veces al día recarga el filtro?,¿Qué miembro de la familia recarga el filtro?,¿En qué emplea el agua del filtro?,¿Qué cambios ha notado con el filtro?,Percepción del agua después de recibir el filtro,¿Qué opina del sabor del agua?,¿El agua presenta color?,¿El agua presenta olor?,¿Han disminuido las enfermedades por agua?,¿Han disminuido los gastos por agua apta?,¿Cuánto gasta actualmente?,¿Cada cuánto realiza mantenimiento?,Productos limpieza (arcilla),Productos limpieza (plástico),¿Conoce vida útil de la arcilla?,¿Sabe dónde conseguir repuestos?,¿El filtro está en un lugar estable y/o seguro?,¿El filtro está ensamblado y tapado?,¿El filtro está limpio externamente?,¿Lavado de manos previo a la manipulación?,Manipulación adecuada de la arcilla,Limpieza del tanque (sin sedimentos),Limpieza de la vasija (sin sedimentos),¿Se evidencian fisuras en la arcilla?,¿La vasija presenta niveles de agua que imposibiliten su manipulación?,¿Cuenta con instalación de lavado de manos?,¿Dispone de jabón para lavado de manos,Observaciones,Timestamp (ms),Latitud,Altitud,Aprobado,Creado En,GPS
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Vereda sin dirección,1110047,3926959363,0000-00-00,Naciente,Siempre ha sido así,7,4,Padre,Solo consumo,Ahora sale con menos olor,Un poco turbia,Regular,No,Si,No,No,95000,14,Jabon,Jabon,Si,No,No,No,Si,No,No,Si,No,Si,No,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Calle 12#03-21,1110049,3160166360,11/05/2025,Naciente,Es más económica,8,3,Hijo,Riego y consumo,Es mas limpio el agua,Clara y buena,Mala,No,No,No,No,40000,15,Jabon,Detergente,Si,No,No,Si,Si,No,Si,No,No,No,Si,Si,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Vereda sin dirección,1110055,3261217775,04/03/2025,Pozo,Es más económica,8,2,Abuelo,Cosas Domesticas,Es mas limpio el agua,Un poco turbia,Mala,No,Si,No,No,25000,20,Jabon,Detergente,No,No,Si,No,Si,No,No,Si,Si,Si,Si,Si,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
11/11/2025,Carlos Pérez,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 12#03-21,1110062,3796975006,0000-00-00,Naciente,Es más económica,3,0,Padre,Doméstico y consumo,No nota cambios,Clara y buena,Buena,No,No,Si,No,20000,14,Jabon,Detergente,No,No,No,No,No,Si,No,Si,No,No,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
02/04/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 12#03-21,1110069,3167240183,0000-00-00,Naciente,Queda más cerca,8,0,Hijo,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Regular,No,Si,No,Si,85000,17,Jabon,Jabon,No,Si,No,No,Si,No,Si,No,No,No,Si,Si,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
10/11/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Vereda sin dirección,1110079,3103964417,09/02/2025,Naciente,Siempre ha sido así,2,2,Padre,Cosas Domesticas,Hay menos sedimentos,Clara y buena,Mala,Si,Si,No,Si,30000,55,Jabon,Detergente,No,No,No,Si,Si,No,Si,No,Si,Si,Si,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110080,3663201757,0000-00-00,Pozo,Es más económica,5,0,Abuelo,Cosas Domesticas,No nota cambios,Clara y buena,Buena,No,Si,Si,Si,65000,18,Jabon,Detergente,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110083,3988655427,07/10/2025,Pozo,Queda más cerca,3,4,Padre,Doméstico y consumo,Es mas limpio el agua,Un poco turbia,Buena,Si,Si,Si,No,65000,11,Jabon,Detergente,Si,Si,No,No,No,No,No,Si,No,No,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle 34#09-01,1110100,3561061036,09/08/2025,Naciente,Es mas Sencillo,3,3,Abuelo,Solo consumo,No nota cambios,Clara,Mala,Si,Si,No,Si,75000,37,Jabon,Detergente,No,No,No,Si,No,Si,Si,No,No,No,Si,No,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
02/08/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Carrera 8#10-05,1110103,3320206619,0000-00-00,Pozo,Es mas Sencillo,8,0,Padre,Cosas Domesticas,No nota cambios,Un poco turbia,Buena,No,Si,No,Si,20000,54,Jabon,Detergente,Si,No,Si,Si,No,Si,Si,Si,No,Si,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 12#03-21,1110111,3294382001,0000-00-00,Grifo,Siempre ha sido así,6,0,Padre,Solo consumo,No nota cambios,Clara y buena,Buena,Si,Si,No,Si,90000,51,Jabon,Detergente,Si,Si,No,Si,Si,No,Si,No,Si,No,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
08/08/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Vereda sin dirección,1110113,3925943503,0000-00-00,Pozo,Queda más cerca,5,3,Padre,Riego y consumo,Ahora sale con menos olor,Un poco turbia,Mala,No,Si,No,No,35000,22,Jabon,Jabon,No,No,Si,Si,No,Si,No,Si,Si,Si,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
05/04/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle 34#09-01,1110116,3892461984,0000-00-00,Pozo,Siempre ha sido así,4,3,Hijo,Cosas Domesticas,No nota cambios,Clara y buena,Regular,Si,Si,No,Si,75000,57,Jabon,Jabon,No,Si,No,Si,No,No,No,Si,Si,Si,No,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110119,3843022367,0000-00-00,Pozo,Es mas Sencillo,4,0,Padre,Riego y consumo,No nota cambios,Un poco turbia,Regular,No,Si,Si,No,95000,60,Jabon,Jabon,No,Si,No,No,No,Si,No,No,No,No,Si,No,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
05/11/2025,Carlos Pérez,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Vereda sin dirección,1110121,3689463169,0000-00-00,Naciente,Es mas Sencillo,8,3,Mama,Cosas Domesticas,Hay menos sedimentos,Clara y buena,Regular,No,No,Si,No,25000,33,Jabon,Detergente,No,Si,Si,Si,No,No,No,Si,No,Si,No,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110125,3953185427,01/01/2025,Pozo,Es más económica,7,3,Padre,Solo consumo,Es mas limpio el agua,Clara,Regular,Si,Si,No,Si,15000,20,Jabon,Jabon,Si,No,Si,No,No,Si,Si,No,Si,Si,Si,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110139,3766955097,05/05/2025,Naciente,Siempre ha sido así,7,1,Hijo,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Buena,No,Si,Si,Si,85000,24,Jabon,Jabon,No,No,Si,No,Si,No,No,No,No,No,Si,Si,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 12#03-21,1110142,3476956603,0000-00-00,Pozo,Siempre ha sido así,2,4,Hijo,Solo consumo,No nota cambios,Un poco turbia,Mala,Si,Si,Si,Si,60000,26,Jabon,Jabon,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110150,3756194397,07/02/2025,Pozo,Queda más cerca,6,4,Abuelo,Solo consumo,Es mas limpio el agua,Clara,Buena,Si,No,Si,No,70000,20,Jabon,Jabon,Si,Si,No,No,Si,Si,No,No,Si,Si,No,No,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Calle 34#09-01,1110165,3800913693,0000-00-00,Pozo,Siempre ha sido así,7,1,Hijo,Doméstico y consumo,Hay menos sedimentos,Clara,Buena,Si,No,Si,Si,40000,40,Jabon,Jabon,No,Si,Si,No,Si,No,No,No,No,No,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
07/09/2025,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Mz 3 Casa 7,1110176,3858650655,09/07/2025,Naciente,Siempre ha sido así,4,2,Hijo,Riego y consumo,Ahora sale con menos olor,Clara,Buena,Si,Si,No,No,95000,38,Jabon,Jabon,No,No,Si,Si,No,No,No,No,No,Si,No,No,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Vereda sin dirección,1110194,3703657771,10/09/2025,Grifo,Es mas Sencillo,6,0,Abuelo,Riego y consumo,No nota cambios,Clara y buena,Buena,Si,Si,No,Si,50000,31,Jabon,Detergente,Si,Si,No,Si,Si,Si,No,No,Si,No,No,No,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/04/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110202,3191210041,0000-00-00,Grifo,Queda más cerca,6,1,Hijo,Riego y consumo,No nota cambios,Clara y buena,Mala,Si,No,No,No,45000,45,Jabon,Detergente,No,No,No,Si,No,Si,Si,No,No,No,No,Si,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110209,3528151908,0000-00-00,Naciente,Es mas Sencillo,7,0,Mama,Riego y consumo,Hay menos sedimentos,Clara y buena,Mala,No,Si,Si,Si,65000,30,Jabon,Detergente,Si,No,No,No,No,No,No,Si,No,Si,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110217,3188164498,11/07/2025,Naciente,Es mas Sencillo,3,0,Hijo,Solo consumo,Es mas limpio el agua,Un poco turbia,Mala,No,Si,Si,Si,55000,43,Jabon,Jabon,No,No,Si,No,No,Si,Si,No,Si,Si,No,Si,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
02/11/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110219,3161183892,08/10/2025,Naciente,Es mas Sencillo,4,2,Padre,Solo consumo,Hay menos sedimentos,Un poco turbia,Buena,Si,No,Si,No,35000,11,Jabon,Jabon,No,Si,No,No,No,No,Si,No,Si,Si,Si,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle 34#09-01,1110231,3432107423,0000-00-00,Naciente,Es mas Sencillo,8,4,Padre,Solo consumo,Es mas limpio el agua,Clara y buena,Regular,Si,Si,No,No,75000,23,Jabon,Jabon,No,Si,No,No,No,Si,No,No,Si,Si,Si,No,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
07/10/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 34#09-01,1110244,3594967239,0000-00-00,Naciente,Siempre ha sido así,6,4,Abuelo,Riego y consumo,Hay menos sedimentos,Clara,Mala,Si,Si,No,Si,25000,40,Jabon,Jabon,No,Si,Si,Si,No,Si,Si,No,No,No,No,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 12#03-21,1110247,3166350804,0000-00-00,Naciente,Queda más cerca,8,1,Mama,Doméstico y consumo,Es mas limpio el agua,Un poco turbia,Mala,No,Si,No,Si,60000,58,Jabon,Detergente,Si,Si,No,Si,No,No,No,No,No,No,Si,No,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/08/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Vereda sin dirección,1110248,3731053647,0000-00-00,Grifo,Es mas Sencillo,7,1,Abuelo,Cosas Domesticas,Ahora sale con menos olor,Clara y buena,Buena,No,No,Si,Si,35000,31,Jabon,Jabon,Si,No,Si,No,No,Si,Si,No,Si,Si,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
01/12/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle 34#09-01,1110253,3107315121,05/05/2025,Grifo,Es más económica,2,3,Mama,Riego y consumo,Hay menos sedimentos,Clara,Buena,No,No,No,Si,35000,53,Jabon,Jabon,Si,No,Si,Si,Si,Si,No,Si,No,Si,No,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
02/06/2025,María Fernanda,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 12#03-21,1110256,3797263695,08/02/2025,Grifo,Siempre ha sido así,8,3,Hijo,Cosas Domesticas,Es mas limpio el agua,Un poco turbia,Regular,No,No,No,No,70000,20,Jabon,Detergente,No,No,No,No,No,No,No,No,Si,No,Si,Si,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Mz 3 Casa 7,1110257,3487026967,0000-00-00,Grifo,Siempre ha sido así,6,4,Hijo,Solo consumo,Hay menos sedimentos,Clara,Regular,Si,No,No,No,70000,38,Jabon,Jabon,Si,No,No,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 34#09-01,1110261,3789657659,03/02/2025,Pozo,Queda más cerca,3,0,Hijo,Doméstico y consumo,Ahora sale con menos olor,Clara,Buena,No,Si,Si,No,10000,18,Jabon,Jabon,Si,No,Si,No,No,Si,No,Si,No,Si,No,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 34#09-01,1110262,3599378553,08/01/2025,Naciente,Es mas Sencillo,5,4,Hijo,Doméstico y consumo,Es mas limpio el agua,Clara y buena,Buena,No,No,No,No,70000,58,Jabon,Detergente,No,No,Si,Si,Si,No,No,No,No,Si,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
08/07/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 12#03-21,1110269,3341751952,0000-00-00,Grifo,Siempre ha sido así,8,2,Padre,Riego y consumo,No nota cambios,Un poco turbia,Buena,No,Si,No,No,10000,49,Jabon,Jabon,Si,No,Si,No,No,No,No,Si,Si,Si,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Mz 3 Casa 7,1110270,3502599130,04/11/2025,Naciente,Siempre ha sido así,7,1,Hijo,Doméstico y consumo,No nota cambios,Clara,Mala,No,Si,Si,No,15000,41,Jabon,Detergente,Si,No,Si,Si,No,Si,No,Si,No,No,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Calle 12#03-21,1110271,3957009326,0000-00-00,Naciente,Es más económica,2,0,Mama,Doméstico y consumo,Ahora sale con menos olor,Clara,Buena,No,No,No,Si,40000,13,Jabon,Jabon,No,Si,Si,Si,Si,No,Si,Si,Si,No,No,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110272,3311781863,01/01/2025,Pozo,Es más económica,5,3,Padre,Cosas Domesticas,No nota cambios,Un poco turbia,Buena,Si,Si,No,Si,95000,60,Jabon,Detergente,No,Si,No,Si,No,No,Si,Si,Si,No,Si,No,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
