Fecha,Responsable,"Empresa / Equipo","No. Cédula","Tipo de beneficiario","Grupo Poblacional","Nombre del beneficiado",Cédula,"Teléfono (wsp)",Departamento,Municipio,"Vereda / Corregimiento",Dirección,"Menor de 5 años","Entre 6 y 17 años","Entre 18 y 64 años","Mayor de 65 años","Tiene agua disponible para sus actividades diarias.","¿De dónde toma el agua?","¿Utiliza otra fuente de agua?","¿Quién administra el servicio?","¿Cuántas horas al día cuenta con agua?","¿Tiene que desplazarse para acceder al agua?","¿Qué medio utiliza?","¿Cuánto tiempo se demora? (min)","Percepción del agua","¿Qué opina del sabor del agua?","¿El agua es clara, oscura o por temporada?","¿Presenta olores?","¿Almacena agua en tanque?","¿Realiza tratamientos al agua? (Opción múltiple)","En caso de hervir el agua, ¿cómo lo hace?","¿Quién realiza estas labores?","¿Cuánto dinero invierte al mes?","¿El agua tiene contacto con fuentes de contaminación? (Opción múltiple)","¿La fuente está protegida?","¿Es importante consumir agua de calidad?","Beneficios de consumir agua potable (Opción múltiple)","¿Cuenta con sanitario (taza)?","¿Tiene fosa séptica/pozo séptico/alcantarillado?","¿Ha recibido capacitación en higiene?","Prácticas: Lavado de manos","Prácticas: Limpieza del hogar","Prácticas: Cepillado dental","Prácticas: Otras","Prácticas: Baño diario","¿Presentan dolores de estómago?","¿Se han presentado enfermedades hídricas? (Opción múltiple)",Observaciones,"Timestamp (ms)",Latitud,Altitud,Aprobado,"Creado En",GPS
0000-00-00,"María Fernanda",Uesvalle,1110000032,Comercio,NA,"Carlos Pérez",4766683,3762807733,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Calle,0,8,0,3,0,NO,Pozo,SI,0,14,NO,0,35,Buena,Regular,Turbia,SI,NO,Hervir,Botellón,0.00,90000,"Químicos,Metales Pesados",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,NO,"Solo consumo humano",NO,"Diarrea,Vómito","Sin observaciones",,,,1762000000032,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",UESVALLE,1110000052,Comercio,NA,"María Fernanda",8320690,3613816728,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Call,0,2,0,2,1,SI,Grifo,SI,0,17,NO,0,18,Buena,Regular,Clara,SI,NO,"Hervir,Filtrar",Olla,0.00,45000,"Basuras,Animales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Diarrea,Vómito","Sin observaciones",,,,1762000000052,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Ana María",UESVALLE,1110000053,Finca,NA,"Christian Frank",4741679,3874069213,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Calle,0,7,3,4,2,SI,Pozo,SI,0,4,SI,0,96,Mala,Mala,Clara,SI,SI,Filtrar,Botellón,0.00,35000,"Basuras,Animales",NO,SI,"Mejor Salud",SI,NO,NO,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis",,,,,1762000000053,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-07-02,"María Fernanda",Uesvalle,1110000063,Finca,NA,"Christian Frank",2756495,3240997160,"Valle del Cauca",Andalucía,"CoV-EL BOSQUE",Call,0,3,1,5,1,NO,Grifo,SI,0,10,NO,0,58,Buena,Buena,Turbia,SI,NO,"Hervir,Filtrar",Olla,0.00,90000,"Aguas Residuales",NO,SI,"Mejor Salud",NO,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis",,,,,1762000000063,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"María Fernanda",Uesvalle,1110000077,Comercio,NA,"María Fernanda",2324835,3252616210,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,2,1,5,2,SI,Naciente,SI,0,3,NO,0,93,Regular,Buena,Clara,SI,NO,"Hervir,Filtrar",Tanque,0.00,15000,"Químicos,Metales Pesados",NO,SI,"Ahorro Económico,Mejor Sabor",SI,NO,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Diarrea,Vómito","Visita al lugar sin novedad",,,,1762000000077,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Juan Esteban",Uesvalle,1110000084,Comercio,NA,"Laura Gómez",4844868,3491092972,"Valle del Cauca",Andalucía,"CoV-EL BOSQUE",Mz,0,4,3,1,2,NO,Grifo,NO,0,5,NO,0,60,Mala,Buena,Turbia,NO,NO,Filtrar,Tanque,0.00,65000,"Químicos,Metales Pesados",NO,NO,"Mejor Salud",NO,SI,SI,"Solo consumo humano",SI,Hepatitis,,,,,1762000000084,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Ana María",Uesvalle,1110000085,Vivienda,NA,"Laura Gómez",6384968,3697514481,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Cra,0,4,0,5,0,SI,Naciente,SI,0,8,SI,0,37,Buena,Buena,Turbia,NO,NO,Filtrar,Botellón,0.00,35000,"Aguas Residuales",SI,SI,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Diarrea,Vómito","Se observan mejoras",,,,1762000000085,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-07-11,"Juan Esteban",UESVALLE,1110000089,Finca,NA,"Juan Esteban",2889743,3195532771,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Cra,0,4,3,3,2,NO,Grifo,NO,0,13,NO,0,96,Regular,Mala,Clara,SI,SI,Hervir,Olla,0.00,40000,"Basuras,Animales",NO,SI,"Mejor Salud",SI,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis","Visita al lugar sin novedad",,,,1762000000089,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",Uesvalle,1110000090,Finca,NA,"Carlos Pérez",4396896,3769955705,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Calle,0,6,3,4,1,NO,Pozo,NO,0,2,NO,0,81,Mala,Buena,Turbia,NO,NO,Hervir,Tanque,0.00,85000,"Animales,Aguas Residuales,Químicos",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,SI,"Lavado de manos,Cepillado de dientes",NO,Hepatitis,"Visita al lugar presentaba fallas",,,,1762000000090,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-08-03,"Juan Esteban",UESVALLE,1110000091,Comercio,NA,"Ana María",3912158,3917170432,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Call,0,2,1,2,0,SI,Naciente,SI,0,5,NO,0,28,Mala,Mala,Clara,NO,SI,"Hervir,Filtrar",Tanque,0.00,20000,"Animales,Aguas Residuales,Químicos",NO,SI,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis","Visita al lugar presentaba fallas",,,,1762000000091,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Laura Gómez",UESVALLE,1110000094,Vivienda,NA,"María Fernanda",6365545,3226028874,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,3,1,3,0,NO,Grifo,NO,0,22,NO,0,88,Mala,Buena,Clara,NO,SI,Hervir,Olla,0.00,10000,"Aguas Residuales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,NO,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis","Visita al lugar presentaba fallas",,,,1762000000094,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-11-10,"Laura Gómez",Uesvalle,1110000097,Comercio,NA,"Juan Esteban",8513970,3961191312,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Call,0,5,3,1,1,SI,Naciente,SI,0,15,NO,0,96,Regular,Buena,Clara,NO,NO,Hervir,Olla,0.00,85000,"Animales,Aguas Residuales,Químicos",SI,NO,"Ahorro Económico,Mejor Sabor",NO,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Diarrea,Vómito","Sin observaciones",,,,1762000000097,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",Uesvalle,1110000098,Finca,NA,"Juan Esteban",5049677,3544234003,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Call,0,2,1,2,0,NO,Grifo,SI,0,4,NO,0,113,Buena,Regular,Clara,SI,NO,Hervir,Olla,0.00,60000,"Aguas Residuales",SI,SI,"Mejor Salud",NO,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Diarrea,Vómito","Visita al lugar presentaba fallas",,,,1762000000098,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",UESVALLE,1110000103,Vivienda,NA,"Carlos Pérez",4966382,3570932046,"Valle del Cauca",Andalucía,CoV-CAMPOALEGRE,Carrera,0,5,3,2,1,NO,Naciente,NO,0,23,NO,0,118,Regular,Buena,Turbia,NO,SI,"Hervir,Filtrar",Olla,0.00,80000,"Químicos,Metales Pesados",SI,SI,"Ahorro Económico,Mejor Sabor",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Vómito,Cólera,Hepatitis","Se observan mejoras",,,,1762000000103,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-09-06,"María Fernanda",UESVALLE,1110000105,Finca,NA,"María Fernanda",2382669,3670685374,"Valle del Cauca",Andalucía,"CoV-EL BOSQUE",Call,0,6,3,1,1,SI,Grifo,SI,0,10,NO,0,23,Regular,Regular,Clara,SI,SI,"Hervir,Filtrar",Olla,0.00,30000,"Basuras,Animales",NO,NO,"Mejor Salud",SI,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Diarrea,Vómito","Visita al lugar sin novedad",,,,1762000000105,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-04-11,"Laura Gómez",UESVALLE,1110000106,Vivienda,NA,"María Fernanda",6426457,3383244142,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Calle,0,2,4,3,0,NO,Pozo,SI,0,15,NO,0,4,Mala,Regular,Turbia,NO,SI,Filtrar,Botellón,0.00,10000,"Basuras,Animales",SI,NO,"Ahorro Económico,Mejor Sabor",NO,SI,SI,"Solo consumo humano",SI,"Diarrea,Vómito","Visita al lugar sin novedad",,,,1762000000106,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Carlos Pérez",UESVALLE,1110000107,Comercio,NA,"Laura Gómez",4632736,3555592734,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Carrera,0,7,2,4,0,SI,Naciente,SI,0,13,NO,0,8,Regular,Mala,Turbia,SI,NO,Filtrar,Tanque,0.00,75000,"Basuras,Animales",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis","Visita al lugar presentaba fallas",,,,1762000000107,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-09-06,"Carlos Pérez",UESVALLE,1110000108,Finca,NA,"Carlos Pérez",3886726,3746589963,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,3,1,3,2,NO,Naciente,NO,0,11,NO,0,57,Buena,Buena,Turbia,SI,SI,Filtrar,Olla,0.00,15000,"Químicos,Metales Pesados",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,SI,"Solo consumo humano",SI,"Vómito,Cólera,Hepatitis","Visita al lugar presentaba fallas",,,,1762000000108,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Juan Esteban",UESVALLE,1110000113,Vivienda,NA,"María Fernanda",8343810,3800846170,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,2,4,1,2,NO,Pozo,SI,0,22,NO,0,120,Mala,Buena,Clara,SI,NO,Filtrar,Botellón,0.00,30000,"Animales,Aguas Residuales,Químicos",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,SI,"Solo consumo humano",NO,"Vómito,Cólera,Hepatitis","Sin observaciones",,,,1762000000113,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-06-07,"Christian Frank",Uesvalle,1110000115,Finca,NA,"Carlos Pérez",9240003,3147475539,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Carrera,0,5,0,1,1,SI,Naciente,SI,0,17,NO,0,37,Mala,Buena,Turbia,NO,SI,Hervir,Botellón,0.00,95000,"Animales,Aguas Residuales,Químicos",NO,NO,"Ahorro Económico,Mejor Sabor",NO,NO,NO,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis","Visita al lugar presentaba fallas",,,,1762000000115,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-03-01,"Carlos Pérez",UESVALLE,1110000120,Finca,NA,"Christian Frank",7393104,3139629505,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Mz,0,5,1,1,0,NO,Pozo,SI,0,17,SI,0,32,Regular,Mala,Turbia,NO,NO,"Hervir,Filtrar",Olla,0.00,10000,"Aguas Residuales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,NO,"Solo consumo humano",SI,"Vómito,Cólera,Hepatitis","Se observan mejoras",,,,1762000000120,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-10-01,"Laura Gómez",UESVALLE,1110000122,Comercio,NA,"María Fernanda",2383216,3375682812,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Carrera,0,4,0,3,2,SI,Grifo,NO,0,4,SI,0,101,Buena,Buena,Turbia,SI,SI,Hervir,Botellón,0.00,45000,"Químicos,Metales Pesados",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Diarrea,Vómito","Se observan mejoras",,,,1762000000122,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"María Fernanda",Uesvalle,1110000136,Vivienda,NA,"Ana María",9119872,3821441992,"Valle del Cauca",Andalucía,CoV-CAMPOALEGRE,Call,0,7,0,1,1,SI,Pozo,NO,0,17,SI,0,86,Regular,Regular,Clara,SI,SI,"Hervir,Filtrar",Olla,0.00,80000,"Basuras,Animales",SI,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Solo consumo humano",NO,"Diarrea,Vómito","Visita al lugar sin novedad",,,,1762000000136,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-10-09,"María Fernanda",UESVALLE,1110000142,Vivienda,NA,"Juan Esteban",4199885,3713522878,"Valle del Cauca",Andalucía,CoV-CAMPOALEGRE,Carrera,0,6,3,3,0,SI,Grifo,NO,0,1,SI,0,58,Mala,Regular,Turbia,SI,SI,Filtrar,Tanque,0.00,60000,"Químicos,Metales Pesados",SI,SI,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Cepillado de dientes",SI,Hepatitis,"Se observan mejoras",,,,1762000000142,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",UESVALLE,1110000150,Comercio,NA,"Christian Frank",9223888,3129652954,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Cra,0,4,1,2,1,NO,Naciente,SI,0,23,NO,0,19,Mala,Regular,Turbia,SI,SI,"Hervir,Filtrar",Botellón,0.00,50000,"Basuras,Animales",SI,NO,"Ahorro Económico,Mejor Sabor",NO,NO,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis","Visita al lugar sin novedad",,,,1762000000150,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Ana María",UESVALLE,1110000166,Finca,NA,"Carlos Pérez",5106504,3342434709,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Cra,0,8,1,3,1,SI,Grifo,NO,0,18,NO,0,83,Regular,Mala,Clara,SI,NO,"Hervir,Filtrar",Tanque,0.00,65000,"Basuras,Animales",SI,SI,"Ahorro Económico,Mejor Sabor",SI,SI,NO,"Solo consumo humano",NO,"Vómito,Cólera,Hepatitis","Se observan mejoras",,,,1762000000166,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-09-09,"Laura Gómez",Uesvalle,1110000169,Vivienda,NA,"Christian Frank",5182704,3150937279,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,7,3,4,1,SI,Pozo,SI,0,5,SI,0,14,Buena,Buena,Turbia,SI,NO,"Hervir,Filtrar",Tanque,0.00,65000,"Basuras,Animales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,Hepatitis,"Sin observaciones",,,,1762000000169,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Ana María",Uesvalle,1110000175,Comercio,NA,"María Fernanda",5269061,3656778154,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Carrera,0,6,0,4,1,SI,Grifo,SI,0,2,NO,0,57,Mala,Mala,Clara,NO,NO,Filtrar,Olla,0.00,40000,"Animales,Aguas Residuales,Químicos",SI,NO,"Ahorro Económico,Mejor Sabor",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,Hepatitis,"Se observan mejoras",,,,1762000000175,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-08-10,"Ana María",UESVALLE,1110000181,Comercio,NA,"María Fernanda",8511609,3534537360,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Calle,0,2,4,3,1,SI,Pozo,NO,0,1,NO,0,54,Buena,Buena,Clara,NO,SI,Filtrar,Olla,0.00,15000,"Químicos,Metales Pesados",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,Hepatitis,"Visita al lugar sin novedad",,,,1762000000181,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
